CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
83235;TAGUATINGA;TO;0.3;0.3;0.3;0.4;0.6;0.9;1.1;1.3;1.2;0.7;0.5;0.4;0.7
82807;TARAUACA;AC;0.5;0.5;0.5;0.5;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
82317;TEFE;AM;1.3;1.3;1.1;1;1.1;1.1;1.3;1.2;1.2;1.2;1.2;1.2;1.2
83492;TEOFILO OTONI;MG;1.2;1.1;1;-;-;0.8;0.9;1.2;1.4;1.4;1.2;1.1;-
83948;TORRES;RS;2.2;2.1;2;1.8;1.7;1.5;1.6;2;2.5;2.7;2.8;2.6;2.1
82361;TUCURUI;PA;1.1;1.1;1.1;1;1;1.1;-;1.4;1.4;1.4;1.2;1.1;-
82198;TURIACU;MA;3.1;2.7;2.4;2.2;2.4;2.7;2.9;3.5;4;4;3.9;3.8;3.1
83577;UBERABA;MG;1.6;1.7;1.6;1.6;1.6;1.8;2.1;2.4;2.5;2.2;2;1.7;1.9
83428;UNAI;MG;1.5;1.3;1.2;1.2;1.2;1.2;1.3;1.5;1.6;1.6;1.4;1.1;1.3
83927;URUGUAIANA;RS;2.1;1.9;1.9;1.9;1.9;2;2.2;2.4;2.7;2.5;2.3;2.2;2.2
